Herramienta,Categoria 1,Procesos evolutivos,Parámetro,presencia
CITES,????,NA,Depensación,1
CITES,Biol_Evo,Variación,Diversidad genética,1
CITES,Biol_Evo,Variación,Número de subpoblaciones,1
CITES,Demografía,Migración Dispersión,Reclutamiento,1
CITES,Demografía,Reproducción,Edad de primera madurez,1
CITES,Demografía,Reproducción,Estructura de edad,1
CITES,Demografía,Reproducción,Fecundidad,1
CITES,Demografía,Reproducción,Proporción de sexos,1
CITES,Demografía,Selección,Amenazas por enfermedad,1
CITES,Demografía,Selección,Aprovechamiento,1
CITES,Demografía,Selección,Demanda internacional de comercio,1
CITES,Demografía,Selección,Efecto de hibridación,1
CITES,Demografía,Selección,Estructura de talla,1
CITES,Demografía,Selección,Impacto de comercio,1
CITES,Demografía,Selección,Niveles o patrones de explotación,1
CITES,Demografía,Selección,Selectividad en la remoción,1
CITES,Demografía,Selección,Tasa de crecimiento individual,1
CITES,Demografía,Selección,Tiempo generacional,1
CITES,Demografía,Selección,Transmisión de enfermedades,1
CITES,Demografía,Variación,Número de individuos,1
CITES,Demografía,Variación,Números absolutos,1
CITES,Demografía,Variación,Tamaño de población silvestre,1
CITES,Demografía,Variación,Tamaño de subpoblación,1
CITES,Hábitat,Reproducción,Área del hábitat,1
CITES,Hábitat,Selección,Alteración del hábitat por especies invasoras,1
CITES,Hábitat,Selección,Biomasa,1
CITES,Hábitat,Selección,Calidad del hábitat,1
CITES,Hábitat,Selección,Cambio en regímenes climáticos,1
CITES,Hábitat,Selección,Condiciones ambientales duras,1
CITES,Hábitat,Selección,Contaminación,1
CITES,Hábitat,Selección,Erosión del suelo,1
CITES,Hábitat,Variación,Área de distribución,1
CITES,Hábitat,Variación,Fragmentación (poblacional),1
CITES,Hábitat,Variación,Fragmentación del hábitat,1
CITES,Hábitat,Variación,Número de localidades en que se presenta,1
CITES,Hábitat,Variación,Pérdida o destrucción del hábitat,1
CITES,Interacciones,Reproducción,Densidad,1
CITES,Interacciones,Selección,Depredación,1
MER I,Biol_Evo,Variación,Variabilidad genética,1
MER I,Demografía,Migración Dispersión,Tasa de reclutamiento,1
MER I,Demografía,Variación,Parámetros demográficos,1
MER I,Hábitat,Selección,Contaminación,1
MER I,Hábitat,Selección,Presión por asentamientos humanos,1
MER I,Hábitat,Selección,Realización de obras de infraestructura,1
MER I,Hábitat,Variación,Cambio de uso de suelo,1
MER I,Hábitat,Variación,Estado del hábitat con respecto al desarrollo natural del taxón,1
MER I,Hábitat,Variación,Fragmentación del hábitat,1
MER I,Hábitat,Variación,Número de cuencas hidrológicas ocupadas,1
MER I,Hábitat,Variación,Proporción de cuencas hidrológicas ocupadas,1
MER I,Hábitat,Variación,"Superficie de la ""Zona Económica Exclusiva""",1
MER I,Hábitat,Variación,Tamaño relativo del ámbito de distribución natural,1
MER I,Interacciones,Selección,Introducción de especies exóticas,1
MER II,Biol_Evo,Migración Dispersión,Estructura genética molecular (Proporción de la variación genética encontrada en poblaciones),1
MER II,Biol_Evo,Selección,Nivel de diferenciación en suceptibilidad a patógenos entre poblaciones,1
MER II,Biol_Evo,Selección,Nivel de diferenciación fisiológica entre poblaciones,1
MER II,Biol_Evo,Selección,Variación genética en susceptibilidad a patógenos,1
MER II,Biol_Evo,Variación,Estructura genética molecular (Fst),1
MER II,Biol_Evo,Variación,Estructura genética molecular (Gst),1
MER II,Biol_Evo,Variación,Nivel de diferenciación morfológica entre poblaciones,1
MER II,Biol_Evo,Variación,Variación genética en caracteres morfológicos,1
MER II,Biol_Evo,Variación,Variación molecular (heterocigosis),1
MER II,Demografía,Migración Dispersión,Reclutamiento,1
MER II,Demografía,Reproducción,Fecundidad,1
MER II,Demografía,Reproducción,Número total de individuos,1
MER II,Demografía,Selección,Impacto de la extensión del uso,1
MER II,Demografía,Selección,Impacto de la intensidad del uso,1
MER II,Demografía,Variación,Tamaño poblacional,1
MER II,Hábitat,Selección,Alteración antrópica del hábitat,1
MER II,Hábitat,Selección,Cambio de uso de suelo,1
MER II,Hábitat,Selección,Impacto de la intensidad de las actividades humanas sobre el hábitat,1
MER II,Hábitat,Variación,Amplitud del intervalo altitudinal,1
MER II,Hábitat,Variación,Calidad del hábitat como efecto de cambios globales,1
MER II,Hábitat,Variación,Extensión de la distribución,1
MER II,Hábitat,Variación,Extensión del hábitat como efecto de cambios globales,1
MER II,Hábitat,Variación,Impacto de la extensión de las actividades humanas sobre el hábitat,1
MER II,Hábitat,Variación,Número de poblaciones o localidades conocidas existentes,1
MER II,Hábitat,Variación,Número de provincias biogeográficas,1
MER II,Interacciones,Selección,Efecto de depredadores,1
MER II,Interacciones,Selección,Efecto de especies invasoras,1
MER II,Interacciones,Selección,Efecto de patógenos,1
MSC,Demografía,Reproducción,Edad de madurez,1
MSC,Demografía,Reproducción,Esperanza de vida,1
MSC,Demografía,Reproducción,Fecundidad,1
MSC,Demografía,Reproducción,Nivel de desove del stock,1
MSC,Demografía,Selección,Abundancia del stock,1
MSC,Demografía,Selección,Mortalidad por pesca incidental,1
MSC,Demografía,Selección,Productividad pesquera,1
MSC,Demografía,Selección,Proxi de mortalidad por pesca,1
MSC,Demografía,Selección,Proxis de la tasa de explotación,1
MSC,Demografía,Selección,Tamaño corporal,1
MSC,Demografía,Selección,Tasa de aprovechamiento,1
MSC,Demografía,Selección,Tasa de mortalidad por pesca,1
MSC,Demografía,Variación,Estructura del stock,1
MSC,Demografía,Variación,Evaluación del estatus del stock basado en la biología de la especie y naturaleza de la unidad de evaluación,1
MSC,Demografía,Variación,Reconstrucción del stock,1
MSC,Demografía,Variación,Sobrepesca en reclutamiento,1
MSC,Demografía,Variación,Tasa de explotación,1
MSC,Hábitat,Selección,Contaminación,1
MSC,Hábitat,Selección,Degradación del hábitat,1
MSC,Hábitat,Selección,Efectos del cambio climático,1
MSC,Hábitat,Selección,Estructura de los ecosistemas marinos vulnerables,1
MSC,Hábitat,Selección,Estructura del ecosistema,1
MSC,Hábitat,Selección,Función de los ecosistemas marinos vulnerables,1
MSC,Hábitat,Selección,Función del ecosistema,1
MSC,Hábitat,Selección,Monitoreo en hábitats y ecosistemas,1
MSC,Hábitat,Selección,Productividad del ecosistema,1
MSC,Hábitat,Selección,Proxis de biomasa del stock,1
MSC,Hábitat,Selección,Traslape del esfuerzo pesquero con el rango del hábitat,1
MSC,Hábitat,Variación,Estructura de los hábitats comúnmente encontrados,1
MSC,Hábitat,Variación,Estructura de los hábitats menores,1
MSC,Hábitat,Variación,Función de los hábitats comúnmente encontrados,1
MSC,Hábitat,Variación,Función de los hábitats menores,1
MSC,Hábitat,Variación,Rango del hábitat,1
MSC,Interacciones,Selección,Densidad de escuela,1
MSC,Interacciones,Selección,Niveles de abundancia de otras especies o grupos tróficos,1
PSM,Demografía,Reproducción,Fecundidad,1
PSM,Demografía,Selección,Constante de crecimiento de Von Bertalanffy,1
PSM,Demografía,Selección,Edad de madurez,1
PSM,Demografía,Selección,Edad máxima,1
PSM,Demografía,Selección,Longitud de madurez,1
PSM,Demografía,Selección,Longitud máxima,1
PSM,Demografía,Selección,Tasa intrínseca de crecimiento poblacional,1
PSM,Demografía,Variación,Estado de explotación de la población,1
PSM,Demografía,Variación,Magnitud de la captura,1
PSM,Hábitat,Selección,Traslapo de área,1
PSM,Hábitat,Selección,Traslapo vertical,1
UICN,Biol_Evo,Variación,Probabilidad de extinción mediante análisis cuantitativo,1
UICN,Demografía,Reproducción,Número de individuos maduros,1
UICN,Demografía,Variación,Niveles de explotación reales o potenciales,1
UICN,Demografía,Variación,Proporción de individuos maduros entre subpoblaciones,1
UICN,Demografía,Variación,Tamaño de la población,1
UICN,Hábitat,Selección,Calidad del hábitat,1
UICN,Hábitat,Selección,Efecto de contaminantes,1
UICN,Hábitat,Variación,Área de ocupación,1
UICN,Hábitat,Variación,Extensión de presencia,1
UICN,Hábitat,Variación,Número de localidades o subpoblaciones,1
UICN,Interacciones,Selección,Efecto de competidores,1
UICN,Interacciones,Selección,Efecto de hibridación,1
UICN,Interacciones,Selección,Efecto de parásitos,1
UICN,Interacciones,Selección,Efecto de patógenos,1
UICN,Interacciones,Selección,Efectos de taxones introducidos,1
